24200087-c4f5-44c2-8416-0a716ca68927 NCL	TIKOR
90e2af90-96ff-4453-b09e-019cb139633f NCL	FTMIE
f1a0c11d-6710-4f3f-acbe-213a8c73583c NCL	EJUFF
3be98153-76ce-4c4f-a8d1-4e84485d1440 NCL	UACOO
bb6d9405-1edb-4ca7-b260-457f9396fba5 NCL	IUIAE
8b6c81a9-8739-4352-a9b1-2f761ca904d2 NCL	RAEDW
861c24ff-9751-4ace-9cee-00692a7897c7 NCL	KCDOK
eeb1c946-9a16-44b7-9241-6db96ef29290 NCL	MSVSS
1144ba89-e0da-4c70-a633-f6916c7b274f NCL	WGARB
ac402c35-57b9-4679-b838-9ff3cac915e3 NCL	ISXHO
488037da-0f9b-4174-ad51-e20748befba4 NCL	IKDXR
2ec3a0be-0aa5-4a7a-aa48-568afb46f564 NCL	CIVIX
5a5d217c-ac18-46c4-a8c3-0d86f9cb5675 NCL	RVUBJ
3d7e7f78-864f-497e-b147-fc8e9bdf0724 NCL	AFMPA
22471630-d90b-48d5-905a-4772b018bbe1 NCL	OVSXI
231de62f-79f7-4efa-bb46-21b2bb9ba209 NCL	SGUGM
39fc915b-f17f-405b-a78b-bfc5aee5ca11 NCL	CFBED
c8b9628f-02e8-4ee2-b131-e5ac99d3b228 NCL	JNCNV
62fb8895-5648-47fc-a892-56c5442ecd03 NCL	TWYAO
68851719-f50c-4cd4-821d-489360b784db NCL	PMSPQ
0f52bbe5-dbfd-4b52-b072-d21cf09816f9 NCL	FUJIR
e6d876f7-9ba8-4d0b-b117-5ffb06270257 NCL	BOIPH
40a22f99-a9fa-46fc-8c2a-c74550fd1b73 NCL	MUCUK
1d080637-911b-4383-b57f-3bbc874d1651 NCL	EGIRV
e8cff0b8-0df1-4800-aaba-5bdad60d9ae1 NCL	TUTTD
407f129d-f996-4a26-8a5d-2c82ca4f1271 NCL	AOSQN
5bc847e6-c4ff-4a35-959a-f127fdba827f NCL	KOWNK
30ee45d4-85e0-4e9d-8a2b-d9210c5668b6 NCL	UDEYD
3b56c15c-9847-439c-99ac-b8f14404f327 NCL	ADOIA
14c44655-a5a7-4e42-b63c-329eadd31d22 NCL	AWCRD
12b3ffee-bed1-4231-b7a2-587acd21ad62 NCL	ULOUA
7aaa1f56-4bb7-4970-8a68-3f0ccaf9aa94 NCL	NFTBU
73d4b263-bb55-4507-b550-f3c00e440511 NCL	COYFW
68e24af5-817c-4b88-bae2-d0cee8a28e84 NCL	JXCHX
3878aadd-47a4-4f2b-8d37-eed295d04ee2 NCL	VTSFP
392c6b71-9e2a-405f-af80-b797a298cd55 NCL	FKULC
cb9e59a7-46f9-423c-b6c7-448d11e8b829 NCL	IKOUK
aefe0047-8507-4154-93d5-00cc409be10c NCL	UFFWU
e49a6b7b-bcc0-40a9-a754-a3f7dd1ba872 NCL	RRLPJ
a6f6505d-cc4a-4ac4-905e-b22bf6d8dbde NCL	KAPCG
f7d240cd-20d8-4c8e-8573-0f603c1d0690 NCL	REIDQ
6343c2c7-d772-46bf-9a1f-d7a749a185b5 NCL	HTJTV
7947bb18-e4e4-408c-9ae9-2e56e191ea5b NCL	HMUAU
b24850c3-fa6a-4ed1-957e-525a3bc5d417 NCL	JQTJH
fbd6c33b-2f57-4b7d-8831-d8611163e452 NCL	KLONA
3945dbbe-8179-496e-9849-5cc73588b59c NCL	VHALR
ecbe87a8-c768-4524-829b-94d3137bf8af NCL	WPDON
425a47f0-e29a-4f77-97a7-3380d7bbb806 NCL	AHVPJ
64cc5086-1227-4b84-bb56-24c5ba75c88c NCL	BVGEB
077c992d-5652-4456-9784-cb60d592ca1c NCL	QMOKP
ada8e552-f1a1-488d-bf48-0d699f3f75e5 NCL	UBCNX
20d7ed4e-6005-439b-a44e-4e4f362b2428 NCL	DWQHX
183cf796-e307-42c4-affb-0475f81de126 NCL	VUPCC
a0d914be-9133-4a9c-94aa-0c932539a4a4 NCL	XIUVY
46e55b86-b6d9-4935-be4b-3d6a0e564a6a NCL	XTRNN
e68cbffa-a9fc-4bb4-88c9-d78bb7095be5 NCL	GUYNR
2d1aa05b-2152-4dc0-9c31-abf4a9d95d28 NCL	DPDVY
c0867670-cd0d-4dd1-81c5-6fbfbcf90c5e NCL	MDMWW
144fc83b-201c-4f1c-928b-e48398ed5ded NCL	QABKJ
2a89b79c-cd0a-4dd6-82cf-709c0f7cb889 NCL	OXHGQ
915d3d3b-8c72-4e14-9d58-6b90e3dedbd8 NCL	HBPBD
1ceb0e09-fff6-4b40-855e-7f59cc43a4e2 NCL	TVHMM
8400da67-33f7-4004-80fa-eb4c1dab4ec9 NCL	IGYVV
6855d3ca-a018-458d-8ee7-d4d3360120a5 NCL	GUJJV
bd33f904-1811-461b-a5c3-9ed144f5cca7 NCL	RGJNB
b74bb7ca-8ce0-4286-aef7-c19654fcf4a9 NCL	DDVPD
efa745f7-3368-44ed-8fce-39eb9c147ae2 NCL	AFYGD
b774884a-cacd-410b-ace8-3519c2b58db8 NCL	DIQMS
3ec34c4e-1a2a-496e-9ade-cac52c8db682 NCL	YGFNI
d7134211-19ee-4e66-8f3e-00bff6b6cc62 NCL	SWBUD
e24bfdf0-4698-4601-a119-8f9317725d2d NCL	SCLOD
3f2fa3e3-7ca6-486f-bb7e-9e1df854140f NCL	XWNBT
64baed87-2c59-45e5-8b12-88086ca0976d NCL	JQRJX
d3131e3c-ef79-4f85-830d-bc1d9a109348 NCL	HTXXD
5e6e4fed-4601-4ba1-804b-958b5247162a NCL	QHCAS
bd84a351-ad5c-41ab-b3d6-9a35a0c694fc NCL	CMPUV
71f8595a-ba51-498e-a556-6be1c36111de NCL	OUJAN
ae9e2517-d35c-4078-a452-c1a765dae330 NCL	CDEQJ
aeecc44a-8aea-4735-a9ec-b9b8f5411853 NCL	WDHHT
143a4f8f-5eff-4ad2-b0b7-6b8a4dfbaafa NCL	WCPLO
4b8b0d3a-e71c-4531-b6b3-6b73e444ae49 NCL	TUAKG
af540c5c-3690-492d-a79d-da372bfca6c7 NCL	GVPTV
37dc9469-1100-49f1-9ea5-8d820b9e1857 NCL	WDOKQ
da55d9f7-ea8a-4550-a65a-5af0f221be9c NCL	SFMHA
64a2aeca-d06c-4ff6-845e-aa2c7af88947 NCL	JFGLL
a5d195b2-125d-4225-8ebe-a58622927fba NCL	LOULE
ba600588-9d98-4979-858e-2eebb0be9735 NCL	ACURN
de937c45-b032-450a-b9a3-3965f88e2740 NCL	RTXGS
9c2ba2d5-a42a-4674-8fae-a11ba8ff5de4 NCL	TURVR
e2c58b9d-a400-4a02-9838-4b847ae64839 NCL	QAQQN
baa4abf0-fcd5-4a62-bc2d-aae6c3a7e786 NCL	HNVKO
